Cong,Economics,Civil Rights,Health,Agriculture,Labor,Education,Environment,Energy,Immigration,Transportation,Law.Crime,Welfare,Housing,Commerce,Defense,Science,Trade,International Affairs,Government Operations,Public Lands
80,312,78,107,165,176,124,79,51,170,257,162,128,132,228,1159,17,85,91,896,711
81,365,107,185,319,192,205,63,67,147,333,278,155,205,287,1299,33,112,127,1392,904
82,255,86,105,150,188,123,50,40,130,268,243,167,69,191,1066,27,123,94,1034,723
83,484,110,102,330,268,156,77,66,107,338,234,301,83,224,857,41,194,73,1041,964
84,401,162,176,691,470,255,137,134,133,428,286,361,200,387,1129,49,195,121,1386,1216
85,467,256,156,782,484,365,145,131,129,686,324,557,200,532,1119,120,369,112,1582,1158
86,642,268,221,557,520,347,173,158,126,739,348,573,236,523,1140,253,334,206,1659,1147
87,456,273,327,484,548,483,216,104,115,746,345,439,237,485,1116,234,393,255,1591,1025
88,392,333,440,513,418,529,147,83,169,584,349,436,244,417,905,166,490,177,1640,850
89,563,341,665,562,630,982,389,143,152,1052,695,739,320,705,1399,223,442,186,2034,1197
90,514,342,624,762,707,616,409,212,197,868,850,846,441,624,1164,127,732,194,2542,1007
91,651,297,875,610,586,566,865,171,189,931,964,948,291,746,1331,295,658,233,2229,1008
92,674,303,1124,511,753,651,824,200,129,952,948,971,430,714,1238,334,389,335,1777,1233
93,667,521,1329,594,892,672,693,1089,0,912,1083,1027,400,1087,1341,318,420,292,2185,1171
94,570,340,1288,553,872,575,546,813,0,778,861,1110,442,932,1086,326,342,269,2149,1090
95,662,352,1085,723,907,541,520,656,0,677,815,1101,365,798,951,224,345,257,1660,887
96,504,178,569,284,520,245,305,572,0,341,416,542,173,546,498,81,239,147,903,587
97,540,145,383,241,455,204,240,377,0,318,517,459,187,523,452,88,251,100,875,467
98,377,129,353,223,395,190,233,246,0,332,460,361,149,480,418,114,289,149,684,460
99,219,104,426,260,312,143,253,194,0,328,402,268,124,384,359,107,324,209,604,403
100,168,99,463,258,313,161,308,180,0,302,322,239,154,336,334,108,354,188,563,478
101,227,129,546,173,339,199,421,180,0,317,327,229,171,371,361,121,491,170,582,457
102,303,121,531,139,332,244,366,163,0,353,298,227,116,477,411,131,576,197,624,483
103,206,109,467,124,320,164,352,92,0,299,382,193,133,403,288,84,375,147,641,439
104,160,131,428,119,279,96,308,113,0,248,294,121,107,319,220,75,126,141,562,415
105,216,128,557,121,345,212,239,104,0,205,337,139,111,300,207,104,1454,150,528,447
106,226,120,717,154,372,273,290,187,0,185,390,148,86,360,267,148,376,185,557,482
107,266,122,676,136,371,306,248,181,0,189,323,161,107,397,285,113,556,164,549,508
108,312,109,654,145,322,300,246,168,0,235,317,127,94,281,448,126,216,185,516,534
109,263,99,770,115,328,331,234,296,0,224,368,122,97,459,447,110,780,180,547,551
110,303,114,886,119,359,396,259,406,0,184,381,125,152,500,567,114,882,210,689,589
111,336,105,821,72,350,344,289,363,0,225,355,173,212,607,526,126,147,158,759,506
112,285,110,595,100,351,263,244,284,0,262,309,139,157,427,413,95,1397,163,638,450
113,304,151,731,106,223,359,250,238,121,187,337,154,105,461,525,109,94,212,693,487
114,172,168,674,68,146,322,224,192,146,218,355,148,73,374,360,97,76,182,464,335
Total,13462,6540,20056,11263,15043,11942,10642,8654,2160,15501,15675,13934,6803,16885,25686,4838,14626,6259,38775,25369